sample_id,score,y_member
TCGA-E2-A158-01A-11R-A12D-07,0.3267864357035464,1
TCGA-AO-A1KO-01A-31R-A13Q-07,0.17847431807886258,0
TCGA-AR-A0TX-01A-11R-A084-07,0.5739992149657093,1
TCGA-D8-A1XB-01A-11R-A14D-07,0.9279801015461395,1
TCGA-B6-A0IG-01A-11R-A034-07,0.6649310235745789,0
TCGA-AC-A5EH-01A-11R-A28M-07,0.604623256868626,0
TCGA-LL-A7SZ-01A-32R-A352-07,0.35965367557714345,1
TCGA-A7-A26J-01A-11R-A169-07,0.8215984728402216,1
TCGA-E9-A22H-01A-11R-A157-07,0.679828166700521,0
TCGA-BH-A208-01A-11R-A157-07,0.4149223350707001,1
TCGA-BH-A6R9-01A-21R-A32P-07,0.22212850362650458,0
TCGA-OL-A5S0-01A-11R-A28M-07,0.580718461388637,1
TCGA-A1-A0SD-01A-11R-A115-07,0.9258541760447437,1
TCGA-AO-A0JB-01A-11R-A32Y-07,0.33245640458642467,1
TCGA-E2-A1BD-01A-11R-A12P-07,0.8637004819529389,0
TCGA-AN-A0AS-01A-11R-A00Z-07,0.7685613290895941,1
TCGA-A7-A13G-01A-11R-A13Q-07,0.3402736650467001,1
TCGA-B6-A0RS-01A-11R-A084-07,0.5015753671797797,1
TCGA-A2-A4S0-01A-21R-A266-07,0.6791763867721474,1
TCGA-BH-A1F5-01A-12R-A13Q-07,0.5256213639262519,0
TCGA-A2-A0CX-01A-21R-A00Z-07,0.6799106720577303,1
TCGA-A7-A13D-01A-13R-A12P-07,0.6445203639617794,1
TCGA-AN-A03Y-01A-21R-A00Z-07,0.5415311588617473,1
TCGA-E9-A1ND-01A-11R-A144-07,0.6733316458468399,1
TCGA-EW-A1P5-01A-11R-A144-07,0.7856745751527069,0
TCGA-EW-A423-01A-11R-A24H-07,0.586174364499644,1
TCGA-A7-A5ZV-01A-11R-A28M-07,0.3479796892500828,1
TCGA-C8-A8HP-01A-11R-A36F-07,0.4666774725705089,1
TCGA-AQ-A54O-01A-11R-A266-07,0.2515354977953715,0
TCGA-E9-A5FK-01A-11R-A27Q-07,0.6177773230175299,1
TCGA-D8-A142-01A-11R-A115-07,0.6381165287689893,0
TCGA-BH-A0BC-01A-22R-A084-07,0.8913298784728287,0
TCGA-A2-A0EY-01A-11R-A034-07,0.6286210621373219,1
TCGA-D8-A1J8-01A-11R-A13Q-07,0.34532478763030244,1
TCGA-A8-A06Y-01A-21R-A00Z-07,0.7070009625673369,1
TCGA-EW-A1J1-01A-11R-A13Q-07,0.6717966465136289,1
TCGA-BH-A0C0-01A-21R-A056-07,0.6349249479117053,1
TCGA-AC-A2FK-01A-12R-A180-07,0.329868604237645,1
TCGA-A2-A3XV-01A-21R-A239-07,0.08786866853348571,1
TCGA-BH-A0HB-01A-11R-A056-07,0.7239633010941127,1
TCGA-AN-A0XL-01A-11R-A10J-07,0.9052111049330434,1
TCGA-E2-A10B-01A-11R-A10J-07,0.8776304860946655,1
TCGA-A2-A04X-01A-21R-A034-07,0.47752231234202036,1
TCGA-AR-A1AN-01A-11R-A12P-07,0.8765370524783751,1
TCGA-A2-A0EM-01A-11R-A034-07,0.8790466731300642,1
TCGA-B6-A0WS-01A-11R-A115-07,0.884783949953665,1
TCGA-D8-A1XD-01A-11R-A14D-07,0.6243503265411523,1
TCGA-A8-A091-01A-11R-A00Z-07,0.6978046889341368,0
