dataset,config,epsilon,split,target,fingerprint,binning,n_bins,structure,cliques,edges,access,arm,auc,tpr_at_fpr_0.01,n_tree,edge_mae_vs_target,tree_recall,aux_set
COMBINED,dp_uniform16/star,1000.0,1,"pgm@binning=dp_uniform,edge_estimator=threshold,epsilon=1000,n_bins=16",0efb2627bf071bea,dp_uniform,16,hierarchical,public,aux,black-box,all,0.5456583878549197,0.0112781954887218,0,0.6015117129612669,,
COMBINED,dp_uniform16/star,1000.0,1,"pgm@binning=dp_uniform,edge_estimator=threshold,epsilon=1000,n_bins=16",0efb2627bf071bea,dp_uniform,16,hierarchical,public,aux,black-box,star,0.5456583878549197,0.0112781954887218,0,0.6015117129612669,,
COMBINED,dp_uniform16/star,1000.0,1,"pgm@binning=dp_uniform,edge_estimator=threshold,epsilon=1000,n_bins=16",0efb2627bf071bea,dp_uniform,16,hierarchical,public,aux,black-box,1way,0.5462554786254208,0.0167727009832273,0,0.6015117129612669,,
COMBINED,dp_uniform16/star,1000.0,1,"pgm@binning=dp_uniform,edge_estimator=threshold,epsilon=1000,n_bins=16",0efb2627bf071bea,dp_uniform,16,hierarchical,public,aux,black-box,gl,0.5396868115152265,0.0118565644881434,0,0.6015117129612669,,
COMBINED,dp_uniform16/star,1000.0,1,"pgm@binning=dp_uniform,edge_estimator=threshold,epsilon=1000,n_bins=16",0efb2627bf071bea,dp_uniform,16,hierarchical,public,aux,black-box,all_cc,0.5752735551640329,0.0138808559861191,0,0.6015117129612669,,
COMBINED,dp_uniform16/star,1000.0,1,"pgm@binning=dp_uniform,edge_estimator=threshold,epsilon=1000,n_bins=16",0efb2627bf071bea,dp_uniform,16,hierarchical,public,aux,black-box,star_cc,0.5752735551640329,0.0138808559861191,0,0.6015117129612669,,
COMBINED,dp_uniform16/star,1000.0,1,"pgm@binning=dp_uniform,edge_estimator=threshold,epsilon=1000,n_bins=16",0efb2627bf071bea,dp_uniform,16,hierarchical,public,aux,black-box,1way_cc,0.5545622615899464,0.0133024869866975,0,0.6015117129612669,,
COMBINED,dp_uniform16/star,1000.0,1,"pgm@binning=dp_uniform,edge_estimator=threshold,epsilon=1000,n_bins=16",0efb2627bf071bea,dp_uniform,16,hierarchical,public,aux,black-box,gl_cc,0.5676374127849637,0.0147484094852515,0,0.6015117129612669,,
COMBINED,dp_uniform16/star,1000.0,1,"pgm@binning=dp_uniform,edge_estimator=threshold,epsilon=1000,n_bins=16",0efb2627bf071bea,dp_uniform,16,hierarchical,public,recovered,black-box,all,0.5694577707051087,0.0135916714864083,0,0.0034982751735654,,
COMBINED,dp_uniform16/star,1000.0,1,"pgm@binning=dp_uniform,edge_estimator=threshold,epsilon=1000,n_bins=16",0efb2627bf071bea,dp_uniform,16,hierarchical,public,recovered,black-box,star,0.5694577707051087,0.0135916714864083,0,0.0034982751735654,,
COMBINED,dp_uniform16/star,1000.0,1,"pgm@binning=dp_uniform,edge_estimator=threshold,epsilon=1000,n_bins=16",0efb2627bf071bea,dp_uniform,16,hierarchical,public,recovered,black-box,1way,0.601219589658896,0.0161943319838056,0,0.0034982751735654,,
COMBINED,dp_uniform16/star,1000.0,1,"pgm@binning=dp_uniform,edge_estimator=threshold,epsilon=1000,n_bins=16",0efb2627bf071bea,dp_uniform,16,hierarchical,public,recovered,black-box,gl,0.559244375946536,0.0133024869866975,0,0.0034982751735654,,
COMBINED,dp_uniform16/star,1000.0,1,"pgm@binning=dp_uniform,edge_estimator=threshold,epsilon=1000,n_bins=16",0efb2627bf071bea,dp_uniform,16,hierarchical,public,recovered,black-box,all_cc,0.6201282441318949,0.0164835164835164,0,0.0034982751735654,,
COMBINED,dp_uniform16/star,1000.0,1,"pgm@binning=dp_uniform,edge_estimator=threshold,epsilon=1000,n_bins=16",0efb2627bf071bea,dp_uniform,16,hierarchical,public,recovered,black-box,star_cc,0.6201282441318949,0.0164835164835164,0,0.0034982751735654,,
COMBINED,dp_uniform16/star,1000.0,1,"pgm@binning=dp_uniform,edge_estimator=threshold,epsilon=1000,n_bins=16",0efb2627bf071bea,dp_uniform,16,hierarchical,public,recovered,black-box,1way_cc,0.6121862013860797,0.015615962984384,0,0.0034982751735654,,
COMBINED,dp_uniform16/star,1000.0,1,"pgm@binning=dp_uniform,edge_estimator=threshold,epsilon=1000,n_bins=16",0efb2627bf071bea,dp_uniform,16,hierarchical,public,recovered,black-box,gl_cc,0.6041334996004908,0.0182186234817813,0,0.0034982751735654,,
