run_id,timestamp,dataset,experiment,attack,variant,generator,split,auc,aupr,tpr_at_fpr_0.01,tpr_at_fpr_0.1,precision_at_5pct,n,n_members,tag,notes
BRCA__mahalamia__cvae__s1__19a13a2a,2026-09-18T21:32:27+00:00,BRCA,tune_statistical,mahalamia,r1e8,cvae,1,0.9983831723527739,0.9995909027647892,0.9667049368541906,0.9988518943742825,1.0,1089,871,aux_ridge1e-08,"how far the bin-count trend goes, and the smallest usable ridge"
BRCA__mahalamia__cvae__s1__33d5129d,2026-09-18T21:20:11+00:00,BRCA,tune_statistical,mahalamia,mahala_pca800,cvae,1,0.8602787052739128,0.964015523043201,0.44202066590126293,0.6739380022962113,1.0,1089,871,aux_ridge0.001_pca800,finer sweep around the ridge and bin-count optima
BRCA__mahalamia__cvae__s1__3fee98bf,2026-09-18T21:08:10+00:00,BRCA,,mahalamia,,cvae,1,0.8549331676128883,0.9427055952333644,0.06314580941446613,0.49827784156142363,0.9636363636363636,1089,871,aux,tune_statistical:mahala_pinv
BRCA__mahalamia__cvae__s1__57493d1e,2026-09-18T21:09:17+00:00,BRCA,,mahalamia,,cvae,1,0.9300076891477685,0.9821453415055682,0.6280137772675086,0.8059701492537313,1.0,1089,871,aux_ridge0.001,tune_statistical:mahala_ridge
BRCA__mahalamia__cvae__s1__635f0ddb,2026-09-19T07:29:26+00:00,BRCA,grid_brca_tuned,mahalamia,mahalamia,cvae,1,0.9766112977806801,0.9941226627193533,0.8335246842709529,0.9265212399540758,1.0,1089,871,aux_ridge0.0001,tuned statistical attacks; MeLoMIA unchanged (Optuna tunes it per run)
BRCA__mahalamia__cvae__s1__6c0a112d,2026-09-18T21:19:02+00:00,BRCA,tune_statistical,mahalamia,mahala_ridge_1e2,cvae,1,0.8551596288142913,0.9606089789109975,0.3777267508610792,0.6452353616532721,1.0,1089,871,aux_ridge0.01,finer sweep around the ridge and bin-count optima
BRCA__mahalamia__cvae__s1__717f503a,2026-09-18T21:15:38+00:00,BRCA,tune_statistical,mahalamia,mahala_ridge_1e4,cvae,1,0.9766112977806801,0.9941226627193533,0.8335246842709529,0.9265212399540758,1.0,1089,871,aux_ridge0.0001,finer sweep around the ridge and bin-count optima
BRCA__mahalamia__cvae__s1__7fbace2a,2026-09-18T21:07:19+00:00,BRCA,,mahalamia,,cvae,1,0.8549331676128883,0.9427055952333644,0.06314580941446613,0.49827784156142363,0.9636363636363636,1089,871,aux,grid_brca:mahalamia
BRCA__mahalamia__cvae__s1__8a5a4490,2026-09-18T21:23:23+00:00,BRCA,tune_statistical,mahalamia,r1e5,cvae,1,0.9955129082884799,0.998870759746923,0.9437428243398392,0.9931113662456946,1.0,1089,871,aux_ridge1e-05,smallest stable ridge
BRCA__mahalamia__cvae__s1__8f2bf19a,2026-09-18T21:16:42+00:00,BRCA,tune_statistical,mahalamia,mahala_ridge_3e4,cvae,1,0.957983547330391,0.9893962828732803,0.7543053960964409,0.878300803673938,1.0,1089,871,aux_ridge0.0003,finer sweep around the ridge and bin-count optima
BRCA__mahalamia__cvae__s1__8f82e775,2026-09-18T21:22:13+00:00,BRCA,tune_statistical,mahalamia,r1e6,cvae,1,0.9982883746405586,0.9995678396480614,0.9724454649827784,0.9988518943742825,1.0,1089,871,aux_ridge1e-06,smallest stable ridge
BRCA__mahalamia__cvae__s1__b6b93e96,2026-09-18T21:10:21+00:00,BRCA,,mahalamia,,cvae,1,0.753915672168445,0.92030075604704,0.07692307692307693,0.4351320321469575,0.9636363636363636,1089,871,aux_ridge0.1,tune_statistical:mahala_ridge_heavy
BRCA__mahalamia__cvae__s1__c46d6620,2026-09-18T21:08:38+00:00,BRCA,,mahalamia,,cvae,1,0.8185835115179221,0.9484013827331119,0.27210103329506313,0.5763490241102182,1.0,1089,871,aux_ledoit_wolf,tune_statistical:mahala_ledoit
BRCA__mahalamia__cvae__s1__d3df6bba,2026-09-18T21:11:22+00:00,BRCA,,mahalamia,,cvae,1,0.6791150106910753,0.8995601099768308,0.11595866819747416,0.365097588978186,0.9636363636363636,1089,871,aux_pca500,tune_statistical:mahala_pca500
BRCA__mahalamia__cvae__s1__d6ede864,2026-09-18T21:11:09+00:00,BRCA,,mahalamia,,cvae,1,0.46055361863933686,0.783203775678449,0.004592422502870264,0.08840413318025259,0.7818181818181819,1089,871,aux_pca200,tune_statistical:mahala_pca200
BRCA__mahalamia__cvae__s1__df8d2935,2026-09-18T21:24:40+00:00,BRCA,tune_statistical,mahalamia,r3e5,cvae,1,0.989235193124006,0.9972948971337123,0.8966704936854191,0.9701492537313433,1.0,1089,871,aux_ridge3e-05,smallest stable ridge
BRCA__mahalamia__cvae__s1__e467a9db,2026-09-18T21:11:03+00:00,BRCA,,mahalamia,,cvae,1,0.43930839802399435,0.7660082130398971,0.003444316877152698,0.04822043628013777,0.6727272727272727,1089,871,aux_pca50,tune_statistical:mahala_pca50
BRCA__mahalamia__cvae__s1__e63053ea,2026-09-18T21:17:47+00:00,BRCA,tune_statistical,mahalamia,mahala_ridge_3e3,cvae,1,0.8972972118939531,0.9731869366008159,0.5258323765786452,0.7416762342135477,1.0,1089,871,aux_ridge0.003,finer sweep around the ridge and bin-count optima
BRCA__mahalamia__cvae__s2__19a13a2a,2026-09-18T21:32:32+00:00,BRCA,tune_statistical,mahalamia,r1e8,cvae,2,0.99773538798597,0.9994303680061466,0.9402985074626866,0.9988518943742825,1.0,1089,871,aux_ridge1e-08,"how far the bin-count trend goes, and the smallest usable ridge"
BRCA__mahalamia__cvae__s2__33d5129d,2026-09-18T21:20:14+00:00,BRCA,tune_statistical,mahalamia,mahala_pca800,cvae,2,0.8547909710445651,0.9632761979658399,0.5786452353616532,0.6969001148105626,1.0,1089,871,aux_ridge0.001_pca800,finer sweep around the ridge and bin-count optima
BRCA__mahalamia__cvae__s2__3fee98bf,2026-09-18T21:08:12+00:00,BRCA,,mahalamia,,cvae,2,0.844289491146947,0.9489286913906676,0.2365097588978186,0.45464982778415614,1.0,1089,871,aux,tune_statistical:mahala_pinv
BRCA__mahalamia__cvae__s2__57493d1e,2026-09-18T21:09:21+00:00,BRCA,,mahalamia,,cvae,2,0.9196747385163105,0.9798626491096235,0.6762342135476463,0.799081515499426,1.0,1089,871,aux_ridge0.001,tune_statistical:mahala_ridge
BRCA__mahalamia__cvae__s2__635f0ddb,2026-09-19T07:29:27+00:00,BRCA,grid_brca_tuned,mahalamia,mahalamia,cvae,2,0.96751071740802,0.9919558046324982,0.7967853042479908,0.904707233065442,1.0,1089,871,aux_ridge0.0001,tuned statistical attacks; MeLoMIA unchanged (Optuna tunes it per run)
BRCA__mahalamia__cvae__s2__6c0a112d,2026-09-18T21:19:07+00:00,BRCA,tune_statistical,mahalamia,mahala_ridge_1e2,cvae,2,0.8473914829522116,0.9591271790337694,0.43398392652123996,0.6452353616532721,1.0,1089,871,aux_ridge0.01,finer sweep around the ridge and bin-count optima
BRCA__mahalamia__cvae__s2__717f503a,2026-09-18T21:15:41+00:00,BRCA,tune_statistical,mahalamia,mahala_ridge_1e4,cvae,2,0.96751071740802,0.9919558046324982,0.7967853042479908,0.904707233065442,1.0,1089,871,aux_ridge0.0001,finer sweep around the ridge and bin-count optima
